Indiana Jones and the Kingdom of the Crystal Skull,5/21/2008,185000000,786636033,601636033,3594982.213285195
Spider-Man 2,6/25/2004,200000000,783766341,583766341,4138153.8595564943
Deadpool,2/9/2016,58000000,783112979,725112979,3302727.3260203027
Star Wars,5/25/1977,11000000,775398007,764398007,1.2774267001647446E7
Guardians of the Galaxy,7/30/2014,170000000,773328629,603328629,3251301.7716899584
2012,10/10/2009,200000000,769653595,569653595,3560293.6251312583
The Da Vinci Code,5/17/2006,125000000,767820459,642820459,3784230.946278955
Maleficent,5/28/2014,180000000,758539785,578539785,3182555.3299236814
Shrek Forever After,5/16/2010,165000000,752600867,587600867,3452851.9120042208
The Amazing Spider-Man,6/27/2012,215000000,752215857,537215857,3283294.298659124
The Hunger Games: Mockingjay - Part 1,11/18/2014,125000000,752100229,627100229,3202988.8975009792
X-Men: Days of Future Past,5/15/2014,250000000,747862775,497862775,3143601.408154687
Madagascar 3: Europe's Most Wanted,6/6/2012,145000000,746921274,601921274,3254870.941876781
Suicide Squad,8/2/2016,175000000,745600054,570600054,3095715.7970346566
Monsters University,6/20/2013,200000000,743559607,543559607,3183100.7679926027
The Matrix Reloaded,5/15/2003,150000000,738599701,588599701,4025066.4904632154
Up,5/13/2009,175000000,735099082,560099082,3437355.4260811014
Gravity,9/27/2013,105000000,716392705,611392705,3067458.6805169005
Captain America: The Winter Soldier,3/20/2014,170000000,714766572,544766572,3014976.7665519337
The Twilight Saga: Breaking Dawn - Part 1,3/15/2011,110000000,712171856,602171856,3186921.809484174
Dawn of the Planet of the Apes,6/26/2014,170000000,710644566,540644566,2982768.3777544596
The Twilight Saga: New Moon,3/15/2009,50000000,709827462,659827462,3337082.4083607183
Transformers,6/27/2007,150000000,709709780,559709780,3407168.4453597954
The Amazing Spider-Man 2,4/16/2014,200000000,705717432,505717432,2966445.6998738963
The Twilight Saga: Eclipse,6/23/2010,68000000,698491347,630491347,3203927.081661017
Mission: Impossible - Ghost Protocol,12/7/2011,145000000,694713380,549713380,3078420.805416711
The Hunger Games,3/12/2012,75000000,691210692,616210692,3013229.284369115
Mission: Impossible - Rogue Nation,7/23/2015,150000000,682330139,532330139,2863131.8879135265
Forrest Gump,7/6/1994,55000000,677945399,622945399,4568365.2223719675
Doctor Strange,10/25/2016,165000000,677718395,512718395,2807996.5651970347
Interstellar,11/5/2014,165000000,675120017,510120017,2858848.859416221
The Sixth Sense,8/6/1999,40000000,672806292,632806292,4026369.192100539
Kung Fu Panda 2,5/25/2011,150000000,665692281,515692281,2949168.804990209
Man of Steel,6/12/2013,225000000,662845518,437845518,2838690.20659175
Ice Age: The Meltdown,3/23/2006,80000000,660940780,580940780,3280103.1265508686
Pirates of the Caribbean: The Curse of the Black Pearl,7/9/2003,140000000,655011224,515011224,3561779.3583469274
The Hunger Games: Mockingjay - Part 2,11/18/2015,160000000,653428261,493428261,2762618.1629848853
Big Hero 6,10/24/2014,165000000,652105443,487105443,2761391.834038391
Star Wars: Episode II - Attack of the Clones,5/15/2002,120000000,649398328,529398328,3611781.579532814
Thor: The Dark World,10/29/2013,170000000,644571402,474571402,2765581.8748954176
Moana,11/23/2016,150000000,643034466,493034466,2663418.544352033
Sing,11/23/2016,75000000,632443719,557443719,2619552.1678982074
Kung Fu Panda,6/4/2008,130000000,631744560,501744560,2887117.245161438
The Incredibles,11/5/2004,92000000,631442092,539442092,3305979.5392670156
The Martian,9/30/2015,108000000,630161890,522161890,2649542.50372102
Fast Five,4/20/2011,125000000,626137675,501137675,2770962.0780301285
Hancock,7/1/2008,150000000,624029371,474029371,2836961.37095161
Men in Black 3,5/23/2012,225000000,624026776,399026776,2719331.5960571384
Iron Man 2,4/28/2010,200000000,623933331,423933331,2859744.4792783875
Ratatouille,6/22/2007,150000000,623722818,473722818,2994362.9974219752
Logan,2/28/2017,97000000,616801808,519801808,2529939.614685748
The Passion of the Christ,2/25/2004,30000000,611899420,581899420,3265205.0160085377
Mamma Mia!,7/3/2008,52000000,609841637,557841637,2772461.116364496
How to Train Your Dragon 2,6/12/2014,145000000,609123048,464123048,2555657.3845256628
Life of Pi,11/20/2012,120000000,609016565,489016565,2652499.618904099
Transformers: The Last Knight,6/21/2017,260000000,604942143,344942143,2471310.217904619
Madagascar: Escape 2 Africa,10/30/2008,150000000,603900354,453900354,2842887.3908438273
Casino Royale,11/14/2006,150000000,599045960,449045960,2972932.8039702233
Tangled,11/24/2010,260000000,591794936,331794936,2700053.08902769
War of the Worlds,6/28/2005,132000000,591739379,459739379,3028348.9201637665
Men in Black,7/2/1997,90000000,589390539,499390539,3672215.196261682
Quantum of Solace,10/30/2008,200000000,586090727,386090727,2759047.7909850534
I Am Legend,12/14/2007,150000000,585349010,435349010,2786898.4840693977
The Croods,3/20/2013,135000000,585178928,450178928,2516563.073310655
Iron Man,4/30/2008,140000000,585174222,445174222,2701236.299346357
Night at the Museum,10/20/2006,110000000,574480841,464480841,2851021.5434243176
Return of the Jedi,5/23/1983,32350000,572700000,540350000,5755778.894472362
Alice in Wonderland,7/3/1951,3000000,572000000,569000000,2.2084942084942088E7
Fifty Shades of Grey,2/11/2015,40000000,571006128,531006128,2432691.132488646
Kong: Skull Island,3/8/2017,185000000,566652812,381652812,2324243.1819393686
The Smurfs,7/29/2011,110000000,563749323,453749323,2488465.0864066742
Cars 2,6/11/2011,200000000,559852396,359852396,2480273.947599259
Armageddon,7/1/1998,140000000,553799566,413799566,3393379.693627451
King Kong,12/14/2005,207000000,550000000,343000000,2794715.447154471
Ted,6/29/2012,50000000,549368315,499368315,2397899.272819331
Mission: Impossible II,5/24/2000,125000000,546388105,421388105,3169304.553364269
The Day After Tomorrow,5/26/2004,125000000,544272402,419272402,2869121.781760675
X-Men: Apocalypse,5/18/2016,178000000,543934787,365934787,2256822.2580886073
Cinderella,3/12/2015,95000000,543514353,448514353,2301866.2327046953
Despicable Me,7/8/2010,69000000,543513985,474513985,2493057.620945732
American Sniper,12/11/2014,58800000,542307423,483507423,2309538.7927363166
Brave,6/21/2012,185000000,538983207,353983207,2352570.042426147
The Empire Strikes Back,5/17/1980,18000000,538400000,520400000,6510278.113663845
The Revenant,12/25/2015,135000000,532950503,397950503,2249533.6026270916
Madagascar,5/25/2005,75000000,532680671,457680671,2738718.1028277637
World War Z,6/20/2013,200000000,531865000,331865000,2276858.336615353
Godzilla,5/14/2014,160000000,529076069,369076069,2223943.123160992
The Simpsons Movie,7/25/2007,75000000,527068851,452068851,2534996.4216490234
Sherlock Holmes,12/23/2009,90000000,524028679,434028679,2418366.9486402045
WALL·E,6/22/2008,180000000,521311860,341311860,2369987.179720318
Kung Fu Panda 3,1/23/2016,145000000,521170825,376170825,2198003.5721666226
Terminator 2: Judgment Day,7/1/1991,100000000,520000000,420000000,3817914.8311306904
Dunkirk,7/19/2017,100000000,519876949,419876949,2117461.170011282
Ant-Man,7/14/2015,130000000,519311965,389311965,2176003.607733371
Meet the Fockers,12/22/2004,80000000,516642939,436642939,2709192.128998427
Ghost,7/12/1990,22000000,505000000,483000000,3872699.3865030673
Aladdin,11/25/1992,28000000,504050219,476050219,3552150.9443269907
Rio 2,3/19/2014,103000000,500188435,397188435,2109858.7559897415
The Boss Baby,3/23/2017,125000000,498814908,373814908,2039942.5332482702
Troy,5/13/2004,175000000,497409852,322409852,2630406.4093072447
Toy Story 2,10/30/1999,90000000,497366869,407366869,2955239.863339275
How to Train Your Dragon,3/5/2010,165000000,494878759,329878759,2273935.050613194
Twister,5/10/1996,92000000,494471524,402471524,3157544.853128991
Oz: The Great and Powerful,3/7/2013,200000000,491868548,291868548,2113082.4794971924
Rio,4/3/2011,90000000,484635760,394635760,2154836.9541052706
Bruce Almighty,5/23/2003,80000000,484572835,404572835,2637848.8568317913
Shrek,5/16/2001,60000000,484409218,424409218,2721400.1011235956
Rise of the Planet of the Apes,8/3/2011,93000000,482860185,389860185,2131409.5874991724
Saving Private Ryan,7/24/1998,70000000,481840909,411840909,2948842.7723378213
Mr. & Mrs. Smith,6/7/2005,110000000,478207520,368207520,2458650.4884318765
Teenage Mutant Ninja Turtles,8/7/2014,125000000,477200000,352200000,2006289.6254813918
Home Alone,11/9/1990,18000000,476684675,458684675,3562665.732436472
Charlie and the Chocolate Factory,7/13/2005,150000000,474968763,324968763,2430751.090071648
Indiana Jones and the Last Crusade,5/24/1989,48000000,474171806,426171806,3820884.8186946013
Hotel Transylvania 2,9/21/2015,80000000,473226958,393226958,1989702.89861166
Wreck-It Ralph,11/1/2012,165000000,471222889,306222889,2046828.4344173642
Jaws,6/18/1975,7000000,470654000,463654000,8683653.136531364
San Andreas,5/27/2015,110000000,470490832,360490832,1971567.1100160074
The Lego Movie,2/6/2014,60000000,469160692,409160692,1998290.713473407
Star Trek Into Darkness,5/5/2013,190000000,467365246,277365246,2006333.0228165446
The Matrix,3/30/1999,63000000,463517383,400517383,2788913.25511432
Pretty Woman,3/23/1990,14000000,463000000,449000000,3591931.7300232737
