1932		Genre:	Romance	Mean:	5.06		Standard Deviation:	2.19
1932		Genre:	Thriller	Mean:	5.46		Standard Deviation:	1.64
1932		Language:	English	Mean:	4.6		Standard Deviation:	2.62
1933		All Languages All		Mean:	4.9		Standard Deviation:	2.32
1933		Genre:	Action	Mean:	4.55		Standard Deviation:	1.92
1933		Genre:	Comedy	Mean:	5.18		Standard Deviation:	2.34
1933		Genre:	Crime	Mean:	5.52		Standard Deviation:	1.23
1933		Genre:	Drama	Mean:	4.78		Standard Deviation:	2.52
1933		Genre:	Horror	Mean:	6.13		Standard Deviation:	1.27
1933		Genre:	Mystery	Mean:	4.5		Standard Deviation:	2.47
1933		Genre:	Romance	Mean:	4.58		Standard Deviation:	2.25
1933		Genre:	Thriller	Mean:	5.42		Standard Deviation:	1.43
1933		Language:	English	Mean:	4.75		Standard Deviation:	2.33
1934		All Languages All		Mean:	4.7		Standard Deviation:	2.38
1934		Genre:	Action	Mean:	4.9		Standard Deviation:	1.32
1934		Genre:	Comedy	Mean:	5.03		Standard Deviation:	2.39
1934		Genre:	Crime	Mean:	5.71		Standard Deviation:	2.75
1934		Genre:	Drama	Mean:	4.84		Standard Deviation:	2.23
1934		Genre:	Music	Mean:	4.59		Standard Deviation:	2.18
1934		Genre:	Mystery	Mean:	4.67		Standard Deviation:	2.75
1934		Genre:	Romance	Mean:	4.58		Standard Deviation:	2.18
1934		Genre:	Western	Mean:	3.7		Standard Deviation:	1.23
1934		Language:	English	Mean:	4.58		Standard Deviation:	2.33
1935		All Languages All		Mean:	4.97		Standard Deviation:	2.43
1935		Genre:	Action	Mean:	5.19		Standard Deviation:	1.39
1935		Genre:	Adventure	Mean:	5.22		Standard Deviation:	1.96
1935		Genre:	Comedy	Mean:	4.61		Standard Deviation:	2.63
1935		Genre:	Crime	Mean:	5.01		Standard Deviation:	2.55
1935		Genre:	Drama	Mean:	5.09		Standard Deviation:	2.29
1935		Genre:	Mystery	Mean:	5.63		Standard Deviation:	1.75
1935		Genre:	Romance	Mean:	5.27		Standard Deviation:	2.32
1935		Genre:	Western	Mean:	4.76		Standard Deviation:	0.95
1935		Language:	English	Mean:	4.95		Standard Deviation:	2.38
1936		All Languages All		Mean:	5.66		Standard Deviation:	2.19
1936		Genre:	Comedy	Mean:	5.43		Standard Deviation:	2.67
1936		Genre:	Crime	Mean:	6.46		Standard Deviation:	0.91
1936		Genre:	Drama	Mean:	5.78		Standard Deviation:	2.1
1936		Genre:	History	Mean:	5.22		Standard Deviation:	1.78
1936		Genre:	Music	Mean:	5.29		Standard Deviation:	2.93
1936		Genre:	Mystery	Mean:	6.41		Standard Deviation:	0.66
1936		Genre:	Romance	Mean:	5.77		Standard Deviation:	2.12
1936		Genre:	Thriller	Mean:	6.78		Standard Deviation:	0.43
1936		Genre:	Western	Mean:	3.74		Standard Deviation:	3.26
1936		Language:	English	Mean:	5.54		Standard Deviation:	2.24
1936		Language:	Français	Mean:	6.97		Standard Deviation:	0.97
1937		All Languages All		Mean:	5.38		Standard Deviation:	2.41
1937		Genre:	Action	Mean:	5.61		Standard Deviation:	1.96
1937		Genre:	Adventure	Mean:	5.35		Standard Deviation:	2.54
1937		Genre:	Comedy	Mean:	5.24		Standard Deviation:	2.55
1937		Genre:	Crime	Mean:	6.48		Standard Deviation:	0.84
1937		Genre:	Drama	Mean:	5.63		Standard Deviation:	2.17
1937		Genre:	History	Mean:	5.66		Standard Deviation:	2.14
1937		Genre:	Music	Mean:	5.24		Standard Deviation:	2.98
1937		Genre:	Mystery	Mean:	5.84		Standard Deviation:	1.33
1937		Genre:	Romance	Mean:	5.56		Standard Deviation:	2.49
1937		Genre:	Thriller	Mean:	6.5		Standard Deviation:	0.78
1937		Language:	English	Mean:	5.35		Standard Deviation:	2.34
1938		All Languages All		Mean:	5.28		Standard Deviation:	2.59
1938		Genre:	Adventure	Mean:	5.35		Standard Deviation:	2.71
1938		Genre:	Comedy	Mean:	5.52		Standard Deviation:	2.54
1938		Genre:	Crime	Mean:	5.47		Standard Deviation:	2.52
1938		Genre:	Drama	Mean:	5.25		Standard Deviation:	2.87
1938		Genre:	Music	Mean:	5.39		Standard Deviation:	2.35
1938		Genre:	Mystery	Mean:	5.81		Standard Deviation:	1.97
1938		Genre:	Romance	Mean:	5.61		Standard Deviation:	2.41
