Metropolis,1/10/1927,92620000,650422,-91969578,5292571.428571428
The Manchurian Candidate,10/24/1962,80000000,96105910,16105910,2631578.947368421
Pirates of the Caribbean: On Stranger Tides,5/14/2011,380000000,1045713802,665713802,1681683.808040219
Pirates of the Caribbean: At World's End,5/19/2007,300000000,961000000,661000000,1439870.9875595146
Superman Returns,6/28/2006,270000000,391081192,121081192,1326781.3267813267
Spider-Man 3,5/1/2007,258000000,890871626,632871626,1240688.8227401911
Titanic,11/18/1997,200000000,1845034188,1645034188,1239925.604463732
Tangled,11/24/2010,260000000,591794936,331794936,1186245.032598926
Avengers: Age of Ultron,4/22/2015,280000000,1405403694,1125403694,1177435.2936229263
Harry Potter and the Half-Blood Prince,7/7/2009,250000000,933959197,683959197,1160895.4683284499
Waterworld,7/28/1995,175000000,264218220,89218220,1144538.9143230869
Harry Potter and the Deathly Hallows: Part 1,10/17/2010,250000000,954305868,704305868,1142580.3119701284
John Carter,3/7/2012,260000000,284139100,24139100,1133430.982771849
Avatar,12/10/2009,237000000,"","",1097481.3497631385
The Lone Ranger,7/3/2013,255000000,89289910,-165710090,1091628.2813061867
The Hobbit: An Unexpected Journey,11/26/2012,250000000,1021103568,771103568,1088845.431857875
Terminator 3: Rise of the Machines,7/2/2003,200000000,435000000,235000000,1087547.580206634
The Dark Knight Rises,7/16/2012,250000000,1084939099,834939099,1085168.3530182873
The Hobbit: The Desolation of Smaug,12/11/2013,250000000,958400000,708400000,1072735.776596338
The Hobbit: The Battle of the Five Armies,12/10/2014,250000000,956019788,706019788,1064681.5324600106
Transformers: The Last Knight,6/21/2017,260000000,604942143,344942143,1062152.2472690432
Spider-Man 2,6/25/2004,200000000,783766341,583766341,1055966.2090813094
King Kong,12/14/2005,207000000,550000000,343000000,1051829.268292683
X-Men: Days of Future Past,5/15/2014,250000000,747862775,497862775,1050861.7065994116
Batman v Superman: Dawn of Justice,3/23/2016,250000000,873260194,623260194,1044884.0387693774
Captain America: Civil War,4/27/2016,250000000,1153304495,903304495,1040673.6905202952
The Chronicles of Narnia: Prince Caspian,5/15/2008,225000000,419651413,194651413,1038627.7188965619
Star Wars: The Force Awakens,12/15/2015,245000000,2068223624,1823223624,1035831.307472783
X-Men: The Last Stand,5/24/2006,210000000,459359555,249359555,1034992.6071956629
Spectre,10/26/2015,245000000,880674609,635674609,1032291.7720025617
The Fate of the Furious,4/12/2017,250000000,1238764765,988764765,1022394.5297803079
Wild Wild West,6/29/1999,170000000,222104681,52104681,1019796.0407918417
Cleopatra,6/12/1963,31115000,71000000,39885000,1016830.0653594771
Speed 2: Cruise Control,6/13/1997,160000000,164508066,4508066,998128.5090455395
Pirates of the Caribbean: Dead Man's Chest,6/20/2006,200000000,1065659812,865659812,982800.9828009828
Men in Black 3,5/23/2012,225000000,624026776,399026776,980486.1468201744
Man of Steel,6/12/2013,225000000,662845518,437845518,963580.9236672606
The Avengers,4/25/2012,220000000,1519557910,1299557910,957291.7346561365
The 13th Warrior,8/27/1999,160000000,61698899,-98301101,952948.1834425253
Quantum of Solace,10/30/2008,200000000,586090727,386090727,941508.7678004
Pirates of the Caribbean: Dead Men Tell No Tales,5/23/2017,230000000,794191988,564191988,938947.9700353126
The Amazing Spider-Man,6/27/2012,215000000,752215857,537215857,938438.4384384383
Terminator Salvation,5/20/2009,200000000,371353001,171353001,927243.8141247049
Troy,5/13/2004,175000000,497409852,322409852,925436.2771020625
2012,10/10/2009,200000000,769653595,569653595,925167.8023101441
A Christmas Carol,11/4/2009,200000000,325233863,125233863,924513.474783895
Alice in Wonderland,3/3/2010,200000000,1025491110,825491110,918986.7252367539
Toy Story 3,6/16/2010,200000000,1066969703,866969703,917384.902596658
Iron Man 2,4/28/2010,200000000,623933331,423933331,916682.7086140674
Robin Hood,5/12/2010,200000000,310669540,110669540,916682.7086140674
Battleship,4/11/2012,209000000,303025485,94025485,908359.9539300693
Tarzan,6/18/1999,150000000,448000000,298000000,899820.0359928015
Cars 2,6/11/2011,200000000,559852396,359852396,886045.6667936665
Green Lantern,6/16/2011,200000000,219851172,19851172,885261.2848682288
Transformers: Age of Extinction,6/25/2014,210000000,1091405097,881405097,881427.072402938
Skyfall,10/25/2012,200000000,1108561013,908561013,868730.4807120115
The Polar Express,11/10/2004,165000000,305875730,140875730,863874.3455497383
Transformers: Dark of the Moon,6/28/2011,195000000,1123746996,928746996,863129.7527465231
Oz: The Great and Powerful,3/7/2013,200000000,491868548,291868548,859206.1794108424
Iron Man 3,4/18/2013,200000000,1215439994,1015439994,858571.7658674795
Armageddon,7/1/1998,140000000,553799566,413799566,857843.137254902
Lethal Weapon 4,7/10/1998,140000000,285444603,145444603,857843.137254902
The Golden Compass,12/4/2007,180000000,372234864,192234864,856995.9435525339
Monsters University,6/20/2013,200000000,743559607,543559607,856179.0441617151
World War Z,6/20/2013,200000000,531865000,331865000,856179.0441617151
Van Helsing,5/5/2004,160000000,300257475,140257475,846113.1676361713
Indiana Jones and the Kingdom of the Crystal Skull,5/21/2008,185000000,786636033,601636033,845463.0624043142
The Dark Knight,7/16/2008,185000000,1004558444,819558444,844417.2608016942
The Amazing Spider-Man 2,4/16/2014,200000000,705717432,505717432,840689.3652795292
Evan Almighty,6/9/2007,175000000,173000000,-2000000,839924.7427430502
Jack the Giant Slayer,2/27/2013,195000000,197687603,2687603,837726.0249255713
Finding Dory,6/16/2016,200000000,1028570889,828570889,831158.4686736374
Rogue One: A Star Wars Story,12/14/2016,200000000,1056057273,856057273,828390.6027370025
Monsters vs Aliens,3/19/2009,175000000,381509870,206509870,820671.5438004127
WALL·E,6/22/2008,180000000,521311860,341311860,818315.724391264
Up,5/13/2009,175000000,735099082,560099082,818307.6462666467
The Matrix Reloaded,5/15/2003,150000000,738599701,588599701,817438.6920980926
Guardians of the Galaxy Vol. 2,4/19/2017,200000000,863416141,663416141,817217.1305054897
Star Trek Into Darkness,5/5/2013,190000000,467365246,277365246,815643.1775741054
Alexander,11/21/2004,155000000,167298192,12298192,814503.4156594849
The Matrix Revolutions,11/5/2003,150000000,424988211,274988211,813008.1300813009
Master and Commander: The Far Side of the World,11/14/2003,150000000,212011111,62011111,813008.1300813009
Superman,12/13/1978,55000000,300218018,245218018,812407.6809453471
G.I. Joe: The Rise of Cobra,8/4/2009,175000000,302469017,127469017,810808.3063836097
Brave,6/21/2012,185000000,538983207,353983207,807493.5400516796
Valerian and the City of a Thousand Planets,7/20/2017,197471676,90024292,-107447384,804303.0315372741
Furious 7,4/1/2015,190000000,1506249360,1316249360,803046.5048457517
The World Is Not Enough,11/8/1999,135000000,361832400,226832400,802139.037433155
Godzilla,5/20/1998,130000000,379014294,249014294,797546.0122699386
Tomorrowland,5/19/2015,190000000,209154322,19154322,796185.0166360764
