1492: Conquest of Paradise,10/9/1992,47000000,7191399,-39808601,-280737.6657263751
The Ottoman Lieutenant,3/10/2017,40000000,240978,-39759022,-163079.81509509805
The Scarlet Letter,10/13/1995,50000000,10382407,-39617593,-257759.22576447626
Mad City,11/7/1997,50000000,10541523,-39458477,-244324.93498452014
Driven,4/27/2001,94000000,54744738,-39255262,-220907.4957794035
The Adventures of Baron Munchausen,12/7/1988,46630000,8083123,-38546877,-319891.09543568466
Fair Game,11/3/1995,50000000,11534477,-38465523,-250426.58203125
Pirates,5/8/1986,40000000,1641825,-38358175,-352233.01193755737
Titan A.E.,6/16/2000,75000000,36754634,-38245366,-221327.34953703702
Mystery Men,8/6/1999,68000000,29762011,-38237989,-228832.9682824656
Wyatt Earp,6/24/1994,63000000,25052000,-37948000,-255714.2857142857
Around the World in 80 Days,6/16/2004,110000000,72178895,-37821105,-199689.04435058078
Hart's War,2/15/2002,70000000,32287044,-37712956,-212108.8638920135
Windtalkers,6/14/2002,115000000,77628265,-37371735,-207736.15897720956
Ride with the Devil,11/24/1999,38000000,635096,-37364904,-222013.68983957218
Street Fighter: The Legend of Chun-Li,2/27/2009,50000000,12764201,-37235799,-175055.11755496947
Solomon Kane,9/16/2009,45000000,7810000,-37190000,-172034.95283957128
City of Ember,10/7/2008,55000000,17869048,-37130952,-171447.742793423
The Mod Squad,3/26/1999,50000000,13260050,-36739950,-221058.6642599278
Jonah Hex,6/18/2010,47000000,10539000,-36461000,-167243.85466788374
I Spy,10/31/2002,70000000,33561137,-36438863,-200986.5581908439
The Fan,8/15/1996,55000000,18626419,-36373581,-231237.00572155116
Broken City,1/18/2013,56000000,19701164,-36298836,-156348.62985966937
Timeline,11/26/2003,80000000,43935763,-36064237,-195682.24091155722
Miracle at St. Anna,9/15/2008,45000000,9323833,-35676167,-163066.44940420418
The Majestic,12/21/2001,72000000,37317558,-34682442,-195835.358554489
At Play in the Fields of the Lord,12/6/1991,36000000,1345903,-34654097,-251298.74546773022
Mary Reilly,2/23/1996,47000000,12379402,-34620598,-222354.51509312782
Man on the Moon,12/22/1999,82000000,47434430,-34565570,-204772.33412322274
Black Gold,12/21/2011,40000000,5446000,-34554000,-152445.23856793065
Black Gold,12/21/2011,40000000,5446000,-34554000,-152445.23856793065
Universal Soldier: The Return,8/5/1999,45000000,10667893,-34332107,-205458.4500299222
Anna Karenina,4/4/1997,35000000,791830,-34208170,-213534.1448189763
Strange Days,10/13/1995,42000000,7959291,-34040709,-221475.0097592713
Deep Rising,1/30/1998,45000000,11203026,-33796974,-208752.1556516368
Sinbad: Legend of the Seven Seas,7/2/2003,60000000,26288320,-33711680,-183315.2800435019
The Big Year,10/13/2011,41000000,7448385,-33551615,-148182.43449150035
Terminal Velocity,9/23/1994,50000000,16478900,-33521100,-224221.40468227424
Baby's Day Out,7/1/1994,50000000,16671505,-33328495,-224585.54582210243
Event Horizon,8/15/1997,60000000,26673242,-33326758,-207255.95771144278
Isn't She Great,1/28/2000,36000000,3003296,-32996704,-194326.87868080093
Stolen,5/17/2012,35000000,2106557,-32893443,-143340.28970097352
Lady in the Water,7/21/2006,75000000,42285169,-32714831,-160445.4683668465
Virgin Territory,12/17/2007,38000000,5410749,-32589251,-154392.8889520561
Against the Ropes,2/20/2004,39000000,6614280,-32385720,-172816.00853788687
The Cotton Club,12/14/1984,58000000,25928721,-32071279,-304570.5508072175
Valmont,11/17/1989,33000000,1132112,-31867888,-252719.17525773196
Christopher Columbus: The Discovery,8/21/1992,40000000,8251071,-31748929,-224691.64189667374
The Interview,12/25/2014,44000000,12342632,-31657368,-135457.50876096994
Nothing but Trouble,2/14/1991,40000000,8479793,-31520207,-233829.42878338278
Big Trouble,4/5/2002,40000000,8493890,-31506110,-175228.6429365962
Basic Instinct 2,3/29/2006,70000000,38629478,-31370522,-155684.97270471463
Land of the Lost,6/5/2009,100000000,68688831,-31311169,-145165.43884131612
The Bonfire of the Vanities,12/21/1990,47000000,15691192,-31308808,-232606.30014858843
Agora,5/17/2009,70000000,39041505,-30958495,-143530.36491680305
The Warrior's Way,12/2/2010,42000000,11087569,-30912431,-141037.37584348864
Havana,12/11/1990,40000000,9243140,-30756860,-229871.89835575485
Switchback,10/31/1997,37000000,6482195,-30517805,-188964.73684210525
Treasure Planet,11/26/2002,140000000,109578115,-30421885,-168169.62410171365
Radio Flyer,2/21/1992,35000000,4651977,-30348023,-217860.89734386216
Nixon,12/22/1995,44000000,13681765,-30318235,-196361.62564766838
The Express,10/10/2008,40000000,9793496,-30206504,-139474.9299312472
Surviving Christmas,9/21/2004,45000000,14793624,-30206376,-158231.40911471975
Little Buddha,12/1/1993,35000000,4858139,-30141861,-206734.30041152262
辛亥革命,7/3/2011,30000000,108348,-29891652,-132309.61128176982
Dominion: Prequel to the Exorcist,5/20/2005,30000000,251495,-29748505,-152948.6118251928
The Insider,10/28/1999,90000000,60289912,-29710088,-176530.52881758762
Mr. Saturday Night,9/23/1992,43000000,13300000,-29700000,-209449.92947813822
Mortdecai,1/21/2015,60000000,30418560,-29581440,-126027.55600241988
Idiocracy,9/1/2006,30000000,495303,-29504697,-145414.96796451454
Winter's Tale,2/13/2014,60000000,30800231,-29199769,-124370.23864793147
Mission to Mars,3/10/2000,90000000,60874615,-29125385,-170124.91238317758
Extreme Ops,11/27/2002,40000000,10959475,-29040525,-160533.58208955222
TEKKEN,3/20/2010,30000000,967000,-29033000,-133173.40109811982
Thunderbirds,7/23/2004,57000000,28283637,-28716363,-151537.53562005277
The Adventures of Ford Fairlane,7/11/1990,49000000,20423389,-28576611,-219145.78987730062
Cats Don't Dance,3/26/1997,32000000,3566637,-28433363,-177486.66042446942
Practical Magic,10/16/1998,75000000,46683377,-28316623,-172662.33536585365
The Soloist,4/24/2009,60000000,31720158,-28279842,-132237.77682178663
Rebound,7/1/2005,45000000,16809014,-28190986,-144273.21392016378
My Favorite Martian,2/11/1999,65000000,36850101,-28149899,-171124.00607902734
The Finest Hours,1/25/2016,80000000,52099090,-27900910,-117670.24726815711
Whiteout,9/9/2009,40000000,12206028,-27793972,-128694.26630673847
White Squall,2/2/1996,38000000,10300000,-27700000,-178825.0484183344
The Phantom,6/6/1996,45000000,17300889,-27699111,-176765.22654754308
Enemy Mine,12/12/1985,40000000,12303411,-27696589,-253399.71637694418
Ballerina,12/14/2016,30000000,2351359,-27648641,-114519.37191424501
Revolution,12/25/1985,28000000,358574,-27641426,-252202.79197080294
Machine Gun Preacher,9/23/2011,30000000,2527904,-27472096,-121331.92592559877
The Chamber,10/11/1996,50000000,22540359,-27459641,-173465.83070120023
Super Mario Bros.,5/28/1993,48000000,20915465,-27084535,-187566.03185595566
Domino,9/22/2005,50000000,22944502,-27055498,-135820.7730923695
Silent Fall,10/28/1994,30000000,3180674,-26819326,-179153.8142952572
Trespass,10/13/2011,36000000,9612469,-26387531,-116541.88878240093
The Gunman,2/16/2015,40000000,13644292,-26355708,-111620.44562275802
Santa Claus: The Movie,10/29/1985,50000000,23717291,-26282709,-241125.77064220182
Third Person,9/9/2013,28000000,1749201,-26250799,-112111.51446301286
Nine,12/3/2009,80000000,53825515,-26174485,-121206.78956605494
The Good German,12/8/2006,32000000,5914908,-26085092,-129262.1010901883
Speed Racer,5/9/2008,120000000,93945766,-26054234,-120269.55389785442
The Relic,1/10/1997,60000000,33956608,-26043392,-163691.96731615337
A Hologram for the King,4/22/2016,30000000,4212494,-25787506,-107345.51615333701
Memoirs of an Invisible Man,2/28/1992,40000000,14358033,-25641967,-184077.2936109117
Sin City: A Dame to Kill For,8/20/2014,65000000,39407616,-25592384,-107517.02089223672
The Swan Princess,11/18/1994,35000000,9771658,-25228342,-168525.99866399466
Oldboy,11/14/2013,30000000,4861022,-25138978,-107860.66787088802
