,model and manufacturer,age_depre_rate,mileage_depre_rate (*10**6),age_const,mileage_const,model,manufacturer,age_0_price,mileage_0_price
88,ram 2500 crew cab,-0.0901,-1.158,11.176,10.7549,2500 crew cab,ram,71396.20531024557,46859.07630188867
89,ram 2500 slt,-0.0453,-5.211,10.8579,11.1321,2500 slt,ram,51942.883517880786,68329.7138499454
90,ram 3500 slt,-0.018,-3.143,10.8488,11.0776,3500 slt,ram,51472.34746399963,64705.40393802623
91,ram 1500 slt,-0.0903,-9.485,10.6037,10.7656,1500 slt,ram,40283.61139147088,47363.16045918666
92,ram 1500 quad cab,-0.0868,-9.974,10.5849,10.856,1500 quad cab,ram,39533.35401410885,51844.28573675034
93,ram promaster cargo van,-0.1057,-6.873,10.4902,10.6204,promaster cargo van,ram,35961.34893576346,40961.99645079297
94,ram 2500 tradesman,-0.0751,-0.773,11.0412,10.469,2500 tradesman,ram,62392.4778615132,35206.99276665919
95,jeep wrangler,-0.0519,-4.079,10.4483,10.3517,wrangler,jeep,34485.69916061938,31310.224984434975
96,jeep grand cherokee,-0.1388,-10.333,10.7676,10.6966,grand cherokee,jeep,47457.981569608455,44205.301309383896
97,jeep wrangler unlimited,-0.0765,-5.962,10.7654,10.6972,wrangler unlimited,jeep,47353.68877429491,44231.83244871541
98,jeep cherokee,-0.1124,-5.651,10.2896,10.1688,cherokee,jeep,29425.00199711962,26076.765862208038
99,jeep liberty,-0.0982,-7.11,10.0229,9.7345,liberty,jeep,22536.69165045476,16890.388308910467
100,jeep patriot,-0.1186,-4.916,9.9818,9.6578,patriot,jeep,21629.210109597196,15643.331454250712
101,jeep compass,-0.1575,-11.282,10.4014,10.3133,compass,jeep,32905.661367853776,30130.704082319848
102,jeep renegade,-0.1056,-7.819,10.1456,10.1033,renegade,jeep,25478.748715923517,24423.474049118093
103,jeep wrangler unlimited sahara,-0.05,-5.521,10.52,10.6733,wrangler unlimited sahara,jeep,37049.12449201164,43187.22444260234
104,jeep wrangler unlimited sport,-0.0848,-5.56,10.7864,10.682,wrangler unlimited sport,jeep,48358.6312026905,43564.5924659086
