,model and manufacturer,age_depre_rate,mileage_depre_rate (*10**6),age_const,mileage_const,model,manufacturer,age_0_price,mileage_0_price
263,chrysler 200 touring,-0.0543,-6.701,9.3706,9.6013,200 touring,chrysler,11738.155868548505,14783.988263261077
264,chrysler 300-series,-0.0842,-6.887,10.2701,10.124,300-series,chrysler,28856.772699479516,24934.308861741676
265,chrysler 300c,-0.0984,-6.945,10.3077,10.1385,300c,chrysler,29962.44370822655,25298.4902747417
266,chrysler pacifica touring,-0.1155,-13.643,10.2162,10.7174,pacifica touring,chrysler,27342.56706550977,45134.40071353323
267,chrysler 300 limited,-0.0849,-13.05,10.2172,10.5449,300 limited,chrysler,27369.92330841703,37983.22903102593
268,cadillac escalade,-0.1484,-11.626,11.3834,11.3006,escalade,cadillac,87851.22168439547,80870.14507364246
269,cadillac cts,-0.1459,-10.914,10.7404,10.3639,cts,cadillac,46184.5220326746,31694.549340928414
270,cadillac srx,-0.124,-7.869,10.5482,10.2621,srx,cadillac,38108.78073319873,28626.839477082503
271,cadillac ats,-0.0953,-1.702,10.2541,9.7562,ats,cadillac,28398.738382183292,17260.915414632604
272,cadillac xts,-0.1229,-5.499,10.556,10.1878,xts,cadillac,38407.191512013924,26576.961222055335
273,cadillac escalade esv,-0.1393,-13.307,11.2717,11.6194,escalade esv,cadillac,78566.44666018605,111234.96001355714
274,cadillac dts,-0.0758,-10.563,9.889,9.9387,dts,cadillac,19712.337741732405,20716.79493905481
275,cadillac xt5,-0.0906,-4.983,10.5275,10.4821,xt5,cadillac,37328.03754223638,35671.238542652754
276,cadillac sts,-0.2468,-4.244,12.1909,9.4391,sts,cadillac,196988.3758220966,12570.398455400602
277,cadillac cts sedan,-0.1602,-8.151,10.8067,10.2196,cts sedan,cadillac,49350.343237272275,27435.69001283451
278,cadillac escalade ext,-0.1031,-2.553,10.9992,10.1528,escalade ext,cadillac,59826.261556442776,25662.85770368394
279,cadillac escalade awd,-0.0903,-32.093,10.905,13.5827,escalade awd,cadillac,54447.92395031615,792303.6549253049
280,cadillac srx luxury collection,-0.0692,-11.957,10.1441,10.6216,srx luxury collection,cadillac,25440.55924211551,41011.18035097199
281,audi a4,-0.1196,-10.887,10.4386,10.3579,a4,audi,34152.80502548011,31504.951407476707
282,audi q5,-0.1215,-10.457,10.6365,10.6087,q5,audi,41626.82207923412,40485.53383386266
283,audi q7,-0.1196,-5.491,10.7219,10.2447,q7,audi,45337.96318880193,28133.040975617336
284,audi a6,-0.1528,-10.495,10.8034,10.6137,a6,audi,49187.75552186804,40688.46841670884
285,audi a7,0.2016,22.528,7.9136,6.2051,a7,audi,2734.2159472737694,495.2684803119573
286,audi a3,-0.1224,-8.641,10.4246,10.2152,a3,audi,33677.99716531429,27315.238165171802
287,audi a5,-0.0822,-5.399,10.132,9.9787,a5,audi,25134.58336250913,21562.26337930257
288,audi a8,-0.2114,-8.838,11.7033,10.7399,a8,audi,120970.25888165452,46161.43554376151
289,audi s4,-0.1053,-12.331,10.8774,10.8969,s4,audi,52965.70989303177,54008.6771175707
290,audi q3,2.5436,-146.054,-0.0812,12.9397,q3,audi,0.9220092711489635,416524.2657515146
291,audi s5,-0.1267,-14.653,11.0639,11.2235,s5,audi,63824.98454735127,74869.3594730643
292,audi tt,-0.1182,-14.416,10.8898,10.5471,tt,audi,53626.57358273646,38066.88412175311
293,audi q5 premium plus,-0.1382,-5.283,10.7273,10.1714,q5 premium plus,audi,45583.45040898229,26144.653669355637
294,mazda mazda3,-0.1152,-7.936,9.9821,9.8629,mazda3,mazda,21635.699846041894,19204.501813781695
295,mazda cx-5,-0.1266,-5.79,10.3594,10.1178,cx-5,mazda,31552.24429538644,24780.19439532447
296,mazda 3,-0.0907,-6.577,9.6309,9.4952,3,mazda,15228.13526327438,13295.753798981308
297,mazda cx-9,-0.1179,-8.094,10.3703,10.279,cx-9,mazda,31898.044948055332,29114.74424706672
298,mazda mazda6,-0.1501,-7.461,10.3294,9.9696,mazda6,mazda,30619.734549889134,21366.936866099837
299,mazda 6,-0.113,-7.045,9.9546,9.7103,6,mazda,21048.824619539784,16486.5470990786
300,mazda tribute,0.1384,-7.709,6.7667,9.7371,tribute,mazda,868.441303819446,16934.360457535862
301,mazda cx-7,-0.0862,-1.81,9.7355,8.9471,cx-7,mazda,16907.287145229293,7685.571355087991
302,mazda mx-5 miata,-0.0828,-8.856,10.5184,10.2139,mx-5 miata,mazda,36989.893290421685,27279.751426934683
303,mazda cx-3,0.4221,63.446,6.8338,5.8744,cx-3,mazda,928.7132259133678,355.8111099460005
304,mazda 5,-0.0336,-4.728,9.0293,9.2372,5,mazda,8344.01671571374,10272.235992360524
305,mazda mazda5,-0.0975,-9.329,9.8407,9.8351,mazda5,mazda,18782.859420788805,18677.96937427515
306,mazda mazda2,-0.1571,-4.706,10.0953,9.2187,mazda2,mazda,24228.86572791986,10083.946672845046
307,mazda cx-5 grand touring,0.2177,19.387,7.8597,7.8765,cx-5 grand touring,mazda,2590.7430359067057,2634.635180586865
308,mazda cx-5 touring,-0.062,-2.453,9.8803,9.6496,cx-5 touring,mazda,19541.584258059564,15515.58063053274
309,mazda 2,0.0149,-1.589,8.4863,8.804,2,mazda,4847.895634595498,6660.83412709114
